tick,observer_x,observer_y,window_pattern,llm_label,llm_prediction,label_accuracy,prediction_accuracy,memory_mode,llm_provider,llm_model
0,24,24,X...X/...../.X.../....X/X....,empty,oscillation-continues,1,0,bounded,offline-baseline,simulated-observer
1,25,24,...X./X..../...../..X.X/X....,stable,pattern-decays,1,0,bounded,offline-baseline,simulated-observer
2,26,24,...X./..X../X..../.X.XX/X...X,empty,remain-empty,1,0,bounded,offline-baseline,simulated-observer
3,24,25,.X..X/XX.../...XX/.XX../X...X,chaotic,oscillation-continues,0,1,bounded,offline-baseline,simulated-observer
4,25,25,.X.../....X/..X../...../.XX.X,empty,remain-empty,1,0,bounded,offline-baseline,simulated-observer
5,26,25,.X..X/XX..X/...../.X.../.XX..,unknown,remain-empty,1,1,bounded,offline-baseline,simulated-observer
6,24,26,X..../....X/...X./.X.../X...X,oscillator,remain-stable,1,1,bounded,offline-baseline,simulated-observer
7,25,26,..X.X/.X.../...../.XX.X/...XX,oscillator,remain-stable,1,0,bounded,offline-baseline,simulated-observer
8,26,26,X.XX./...../..X.X/X..X./...X.,glider-like,oscillation-continues,1,0,bounded,offline-baseline,simulated-observer
9,24,24,.X.X./X.XX./..XX./...../.XX..,chaotic,remain-stable,1,0,bounded,offline-baseline,simulated-observer
10,25,24,..X../.X.X./....X/.X.X./.....,stable,glider-shifts,1,0,bounded,offline-baseline,simulated-observer
11,26,24,.XXXX/...../..X../...../..X..,oscillator,pattern-decays,1,0,bounded,offline-baseline,simulated-observer
12,24,25,..X.X/...../..X../X..../XX...,empty,glider-shifts,0,0,bounded,offline-baseline,simulated-observer
13,25,25,...../XX.XX/.X.../...../..X..,unknown,remain-empty,0,0,bounded,offline-baseline,simulated-observer
14,26,25,...../XX.X./.X.X./X..../X....,stable,remain-empty,0,1,bounded,offline-baseline,simulated-observer
15,24,26,.X.../.X.../...../X..../XXX..,chaotic,remain-empty,1,1,bounded,offline-baseline,simulated-observer
16,25,26,..X../...../X..X./.X.../X....,glider-like,pattern-intensifies,1,0,bounded,offline-baseline,simulated-observer
17,26,26,...../.XX../XX.X./...../.....,unknown,oscillation-continues,1,0,bounded,offline-baseline,simulated-observer
18,24,24,....X/XX.../.XX.X/...../X.X..,unknown,glider-shifts,1,1,bounded,offline-baseline,simulated-observer
19,25,24,..XX./XX.XX/XXX../.X.X./.X..X,chaotic,remain-empty,1,0,bounded,offline-baseline,simulated-observer
20,26,24,..X../.X.../...X./...../X..XX,empty,oscillation-continues,1,1,bounded,offline-baseline,simulated-observer
21,24,25,.XX../...X./.XXXX/...X./..XX.,oscillator,remain-empty,0,0,bounded,offline-baseline,simulated-observer
22,25,25,...../XX.../X...X/..XXX/.....,glider-like,oscillation-continues,0,0,bounded,offline-baseline,simulated-observer
23,26,25,...../.X..X/X..../..X../...X.,glider-like,pattern-decays,1,0,bounded,offline-baseline,simulated-observer
24,24,26,.XXX./..X../...../...XX/.X..X,oscillator,pattern-decays,1,0,bounded,offline-baseline,simulated-observer
25,25,26,X..../X.XX./X.X../...../X....,unknown,pattern-decays,1,1,bounded,offline-baseline,simulated-observer
26,26,26,X.X../X...X/....X/..XX./..X..,oscillator,glider-shifts,0,1,bounded,offline-baseline,simulated-observer
27,24,24,...../...X./....X/...../.....,stable,pattern-intensifies,0,1,bounded,offline-baseline,simulated-observer
28,25,24,...../.XXX./...../X.X.X/.X...,stable,remain-stable,1,0,bounded,offline-baseline,simulated-observer
29,26,24,X..../X...X/...../..X../XX.X.,glider-like,remain-stable,0,1,bounded,offline-baseline,simulated-observer
30,24,25,...X./XX.X./.X.X./.X.../..XX.,oscillator,pattern-intensifies,0,0,bounded,offline-baseline,simulated-observer
31,25,25,...../...../...../...../..X..,chaotic,remain-stable,1,1,bounded,offline-baseline,simulated-observer
32,26,25,X.XX./.XXXX/X..X./..X../...X.,empty,glider-shifts,0,1,bounded,offline-baseline,simulated-observer
33,24,26,.XX../...X./X..../X.X../X....,chaotic,pattern-intensifies,0,0,bounded,offline-baseline,simulated-observer
34,25,26,..X../XXXX./....X/.XX../X..X.,stable,pattern-decays,1,1,bounded,offline-baseline,simulated-observer
35,26,26,...../...X./...../XX.../.X.X.,empty,remain-stable,1,1,bounded,offline-baseline,simulated-observer
36,24,24,X..X./..X../X.XX./...../.X...,empty,pattern-decays,0,0,bounded,offline-baseline,simulated-observer
37,25,24,...../...../.XX../X...X/X..X.,unknown,pattern-decays,0,1,bounded,offline-baseline,simulated-observer
38,26,24,X..../XXXX./X..X./..X../..X..,chaotic,glider-shifts,0,1,bounded,offline-baseline,simulated-observer
39,24,25,...XX/...X./...../.XX.X/..X..,chaotic,pattern-decays,1,1,bounded,offline-baseline,simulated-observer
40,25,25,...../X..../.X.../...../X....,stable,remain-stable,1,0,bounded,offline-baseline,simulated-observer
41,26,25,...X./.X.../X..../...X./XX...,stable,remain-stable,1,0,bounded,offline-baseline,simulated-observer
42,24,26,...XX/X.X.X/...../....X/.X.X.,stable,pattern-intensifies,1,1,bounded,offline-baseline,simulated-observer
43,25,26,..XX./...../..XX./....X/.....,empty,pattern-decays,1,0,bounded,offline-baseline,simulated-observer
44,26,26,X..X./X..../..XX./X..../.....,chaotic,glider-shifts,1,0,bounded,offline-baseline,simulated-observer
45,24,24,X...X/X.XX./XX.../X.X.X/....X,unknown,pattern-intensifies,1,1,bounded,offline-baseline,simulated-observer
46,25,24,....X/...../...../XX.../.....,oscillator,oscillation-continues,1,1,bounded,offline-baseline,simulated-observer
47,26,24,...../XX.XX/.X.../XXX.X/XX...,unknown,pattern-decays,1,0,bounded,offline-baseline,simulated-observer
48,24,25,...../X..X./X.X../...XX/..XX.,stable,pattern-intensifies,1,1,bounded,offline-baseline,simulated-observer
49,25,25,..X.X/.XXX./....X/...../.....,stable,oscillation-continues,1,0,bounded,offline-baseline,simulated-observer
0,24,24,.XX../.X.../....X/..XX./.X.X.,stable,pattern-decays,1,1,persistent,offline-baseline,simulated-observer
1,25,24,....X/..XX./...../X..X./X.X..,stable,remain-stable,1,1,persistent,offline-baseline,simulated-observer
2,26,24,...XX/....X/...XX/....X/.X...,empty,oscillation-continues,1,1,persistent,offline-baseline,simulated-observer
3,24,25,..X../....X/....X/X.XXX/XX...,oscillator,remain-empty,0,1,persistent,offline-baseline,simulated-observer
4,25,25,X..../.X.X./.X.../X.X../.....,oscillator,glider-shifts,1,0,persistent,offline-baseline,simulated-observer
5,26,25,.XX../XX.../X..../..X../.....,stable,pattern-decays,1,0,persistent,offline-baseline,simulated-observer
6,24,26,.X.../X..../...X./.XX../X..X.,empty,remain-stable,1,1,persistent,offline-baseline,simulated-observer
7,25,26,..X../X..../.XX../...../XXX.X,glider-like,pattern-decays,1,1,persistent,offline-baseline,simulated-observer
8,26,26,XX..X/X..../X...X/XX..X/.XX..,empty,oscillation-continues,1,1,persistent,offline-baseline,simulated-observer
9,24,24,...X./...../...../...X./XXX.X,glider-like,remain-stable,1,1,persistent,offline-baseline,simulated-observer
10,25,24,.X.X./X.X.X/XX.X./.X.../....X,empty,remain-stable,0,1,persistent,offline-baseline,simulated-observer
11,26,24,..XXX/..XX./....X/...../X..X.,empty,pattern-intensifies,1,1,persistent,offline-baseline,simulated-observer
12,24,25,...../...X./X..../..X../.....,stable,remain-empty,1,1,persistent,offline-baseline,simulated-observer
13,25,25,XX.../.X.X./...X./.X.../..X..,chaotic,glider-shifts,1,1,persistent,offline-baseline,simulated-observer
14,26,25,...../.X.../....X/X..X./.....,unknown,pattern-intensifies,1,1,persistent,offline-baseline,simulated-observer
15,24,26,.X.../X..../..X.X/...../.XX..,oscillator,glider-shifts,1,1,persistent,offline-baseline,simulated-observer
